site,coral length (cm),coral width (cm),coral height (cm),coral circum (cm),<25 mm,25-69 mm,>70 mm
Beacon #6,41,37,24,105,0,12,2
Beacon #6,41,38,27,110,0,16,0
Beacon #12,41,36,23,105,2,25,4
Beacon #12,46,39,33,108,0,12,2
Beacon #11,50,43,28,120,0,15,2
Beacon #11,38,35,26,97,3,12,1
Beacon #10,45,33,23,105,0,16,4
Beacon #10,48,31,24,120,0,18,4
Beacon # 9,43,36,23,99,0,6,2
Beacon # 9,47,39,33,118,0,11,4
Beacon # 8,48,43,28,121,0,26,4
Beacon # 8,37,35,26,95,1,14,2
Beacon # 7,35,33,23,89,0,12,0
Beacon # 7,39,31,24,101,0,9,2
Near Beacon #1 and #7,11,10,6,35,0,0,0
17-Jul-05,13,11,7,38,0,0,0
,17,12,6,45,0,0,0
,52,37,32,141,0,0,0
,17,7,7,44,0,0,0
,5,4,6,15,0,0,0
,7,6,4,18,0,0,0
,5,4,3,19,0,0,0
,5,5,4,16,0,0,0
,9,6,5,22,0,0,0
,5,6,4,21,0,0,0
,18,15,8,49,0,0,0
,9,6,4,21,0,0,0
,8,6,4,20,0,0,0
,15,16,8,44,0,0,0
,11,9,5,28,0,0,0
,20,14,10,61,0,0,0
,30,16,13,78,0,0,0
,11,9,5,27,0,0,0
,15,14,9,40,0,0,0
,18,16,8,53,0,0,0
,12,11,8,35,0,0,0
,12,9,7,26,0,0,0
,18,15,8,62,0,0,0
,15,12,8,39,0,0,0
,14,5,6,32,0,0,0
,22,13,7,58,0,0,0
,8,8,4,25,0,0,0
,19,18,9,57,0,0,0
,14,10,7,40,0,0,0
,24,16,9,58,0,0,0
,19,18,8,53,0,0,0
,10,9,6,29,0,0,0
,15,11,7,39,0,0,0
,14,13,8,40,0,0,0
,16,12,12,43,1,0,0
,14,11,8,36,0,0,0
,18,16,10,53,0,0,0
,15,12,8,37,0,0,0
,11,7,5,31,0,0,0
,20,13,9,50,0,0,0
,16,10,6,39,0,0,0
,38,32,12,102,2,10,0
,22,19,15,53,0,0,0
,11,7,7,30,0,0,0
,30,21,18,75,0,0,0
,17,11,9,43,0,0,0
,14,14,6,44,0,0,0
,34,24,15,89,0,5,0
,20,20,13,58,1,2,0
,44,44,26,129,3,10,0
,38,21,13,85,0,10,1
,21,18,11,57,0,0,0
,23,22,14,65,0,0,0
,28,24,11,68,0,5,0
,30,25,14,75,0,0,0
,34,24,15,80,12,8,0
,25,19,12,62,1,5,0
,27,35,16,96,0,10,0
,65,54,24,185,0,9,2
,36,27,13,95,6,0,0
,15,11,10,42,0,1,0
,31,18,12,89,2,3,0
,17,17,10,52,0,0,0
,23,16,15,65,4,5,0
,34,30,23,87,7,15,1
,12,11,6,33,0,0,0
,9,7,7,24,0,0,0
,24,23,13,72,1,0,0
Near Beacons 6 and 12,25,15,11,67,0,0,0
18-Jul-05,35,35,19,116,0,2,0
,33,27,20,95,0,2,0
,7,6,5,22,0,0,0
,28,24,22,83,0,0,0
,32,16,13,83,0,1,0
,32,32,10,93,0,0,0
,32,26,18,92,0,0,0
,33,23,13,84,0,0,0
,36,80,30,210,0,35,2
,19,11,7,48,0,0,0
,38,30,15,102,0,0,0
,23,19,13,60,0,0,0
,32,29,20,90,1,1,0
,16,22,12,65,0,6,0
,11,9,8,32,0,0,0
,13,10,6,33,0,0,0
,36,24,15,94,0,7,1
,51,41,25,150,0,6,2
,33,37,12,106,0,1,0
,12,13,6,35,0,0,0
,30,31,17,88,0,11,0
,28,21,11,68,0,0,0
Opunahu2,53,45,30,160,0,6,0
26-Jul-05,69,50,23,160,0,2,1
,nd,nd,44,195,0,25,0
